trial,choice,manipulation,num,mean,trial_sort
DRvA.6.Imm,DRvA,Imm,6,0.5666666666666667,5
DRvA.3.Imm,DRvA,Imm,3,0.6,6
DRvA.12.Imm,DRvA,Imm,12,0.6833333333333333,7
DRvA.11.Imm,DRvA,Imm,11,0.7,8
DRvA.13.Imm,DRvA,Imm,13,0.7,9
DRvA.16.Imm,DRvA,Imm,16,0.7,10
DRvA.7.Imm,DRvA,Imm,7,0.7166666666666667,11
DRvA.15.Imm,DRvA,Imm,15,0.75,12
DRvA.2.Imm,DRvA,Imm,2,0.7666666666666667,13
DRvA.9.Imm,DRvA,Imm,9,0.8666666666666667,14
DRvA.8.Imm,DRvA,Imm,8,0.9333333333333333,15
DRvA.10.Imm,DRvA,Imm,10,0.9666666666666667,16
